Name,Page Range
,PAGE
TRANSLATOR'S PREFACE TO THIS EDITION,xi
EDITION OF 1550,xiii
EDITION OF 1568,xvii
IMPRIMATUR OF POPE PIUS V,xxi
THE AUTHOR'S PREFACE TO THE WHOLE WORK,xxiii
THE AUTHOR'S PREFACE TO THE LIVES,xxxvii
GIOVANNI CIMABUE,1-10
ARNOLFO DI LAPO,11-26
NICCOLA AND GIOVANNI OF PISA [NICCOLA PISANO: GIOVANNI PISANO],27-44
ANDREA TAFI,45-52
GADDO GADDI,53-60
MARGARITONE,61-68
GIOTTO,69-94
AGOSTINO AND AGNOLO OF SIENA,95-106
STEFANO AND UGOLINO SANESE [UGOLINO DA SIENA],107-114
PIETRO LAURATI [PIETRO LORENZETTI],115-120
ANDREA PISANO,121-132
BUONAMICO BUFFALMACCO,133-152
AMBROGIO LORENZETTI,153-158
PIETRO CAVALLINI,159-164
SIMONE SANESE [SIMONE MEMMI OR MARTINI],165-174
TADDEO GADDI,175-186
ANDREA DI CIONE ORCAGNA,187-200
"TOMMASO, CALLED GIOTTINO",201-208
GIOVANNI DAL PONTE,209-214
AGNOLO GADDI,215-224
