x,p_x,y,p_y,p_yx,pmi_yx,pages,paragraphs,volume
"Ruspoli, Ilarione",0.030303030303030304,"Bandinelli, Baccio (Baccio de' Brandini)",0.030303030303030304,1.0,5.044394119358453,[24],[29],[9]
"Ruspoli, Ilarione",0.030303030303030304,"Rossi, Vincenzio de'",0.030303030303030304,1.0,5.044394119358453,[24],[29],[9]
"Bandinelli, Baccio (Baccio de' Brandini)",0.030303030303030304,"Rossi, Vincenzio de'",0.030303030303030304,1.0,5.044394119358453,[24],[29],[9]
"Poggini, Domenico",0.030303030303030304,"Lastricati, Zanobi",0.030303030303030304,1.0,5.044394119358453,[33],[41],[9]
"Poggini, Domenico",0.030303030303030304,"Lancia, Pompilio",0.06060606060606061,1.0,4.044394119358453,[33],[41],[9]
"Lancia, Pompilio",0.06060606060606061,"Lastricati, Zanobi",0.030303030303030304,0.5,4.044394119358453,[33],[41],[9]
"Lorenzi, Battista (Battista del Cavaliere)",0.030303030303030304,"Buonarroti, Michelagnolo",0.18181818181818182,1.0,2.4594316186372973,[31],[36],[9]
"Altissimo, Cristofano dell'",0.030303030303030304,"Buonarroti, Michelagnolo",0.18181818181818182,1.0,2.4594316186372973,[14],[14],[9]
"Allori, Alessandro (Alessandro del Bronzino)",0.030303030303030304,"Buonarroti, Michelagnolo",0.18181818181818182,1.0,2.4594316186372973,[13],[12],[9]
"Bronzino, Agnolo",0.30303030303030304,"Altissimo, Cristofano dell'",0.030303030303030304,0.1,1.7224660244710912,[14],[14],[9]
"Bronzino, Agnolo",0.30303030303030304,"Pontormo, Jacopo da (Jacopo Carrucci)",0.06060606060606061,0.2,1.7224660244710912,"[10, 4]","[8, 2]","[9, 9]"
"Bronzino, Agnolo",0.30303030303030304,"Allori, Alessandro (Alessandro del Bronzino)",0.030303030303030304,0.1,1.7224660244710912,[13],[12],[9]
"Bronzino, Agnolo",0.30303030303030304,"Buonarroti, Michelagnolo",0.18181818181818182,0.2,0.13750352374993502,"[14, 13]","[14, 12]","[9, 9]"
